epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,56.3831,0.76055,0.43773,0.92787,0.99864,1,0.995,0.73897,0.97019,0.39087,0.89127,0.0013268,0.0013268,0.0013268
104,82.7882,0.7676,0.43283,0.92959,1,0.99689,0.995,0.71336,1.06092,0.39571,0.96501,0.0013202,0.0013202,0.0013202
105,109.225,0.7639,0.43262,0.93395,0.9553,0.95833,0.98644,0.73508,1.01983,0.46836,0.92857,0.0013136,0.0013136,0.0013136
106,135.901,0.74188,0.42327,0.92687,0.99723,0.95833,0.9881,0.74467,0.9844,0.4355,0.93144,0.001307,0.001307,0.001307
107,165.399,0.76481,0.42914,0.92855,0.99638,1,0.995,0.711,1.00364,0.40418,0.94978,0.0013004,0.0013004,0.0013004
108,191.973,0.76825,0.43226,0.93101,0.99692,0.95833,0.9934,0.75678,0.98888,0.3887,0.93509,0.0012938,0.0012938,0.0012938
109,218.758,0.75119,0.41977,0.9339,0.95991,0.99766,0.9902,0.74702,0.95674,0.40969,0.92484,0.0012872,0.0012872,0.0012872
110,247.052,0.76386,0.42393,0.92813,0.99727,0.95833,0.95964,0.70276,0.95232,0.46672,0.9219,0.0012806,0.0012806,0.0012806
111,274.256,0.75514,0.42339,0.92509,0.98331,0.95833,0.98929,0.73121,0.97737,0.41321,0.9223,0.001274,0.001274,0.001274
112,301.671,0.74135,0.41018,0.9283,0.9972,0.95833,0.97633,0.7105,1.02449,0.41132,0.94427,0.0012674,0.0012674,0.0012674
113,328.228,0.75045,0.41725,0.9291,0.99708,0.95833,0.99192,0.72072,1.05373,0.43544,0.97013,0.0012608,0.0012608,0.0012608
114,354.994,0.74046,0.42074,0.92407,0.99717,0.95833,0.9934,0.71634,1.0376,0.41192,0.98033,0.0012542,0.0012542,0.0012542
115,381.725,0.74179,0.41901,0.92632,0.99705,0.95833,0.97733,0.68861,1.04769,0.45539,0.9677,0.0012476,0.0012476,0.0012476
116,408.332,0.75366,0.42594,0.92742,1,0.99956,0.995,0.70735,1.09239,0.39266,0.99492,0.001241,0.001241,0.001241
117,435.225,0.7358,0.41897,0.92198,0.95993,0.99833,0.9934,0.73414,1.04159,0.39237,0.94081,0.0012344,0.0012344,0.0012344
118,462.192,0.75781,0.42231,0.92778,1,0.99807,0.995,0.7097,1.03291,0.40336,0.9407,0.0012278,0.0012278,0.0012278
119,489.573,0.73189,0.41076,0.92137,1,0.99756,0.995,0.7433,0.99944,0.40108,0.93725,0.0012212,0.0012212,0.0012212
120,516.48,0.72677,0.4123,0.92012,0.99678,0.95833,0.97962,0.72028,1.02291,0.41419,0.96827,0.0012146,0.0012146,0.0012146
121,545.008,0.73078,0.40586,0.92517,0.99742,0.95833,0.98929,0.69605,1.08022,0.45441,0.99329,0.001208,0.001208,0.001208
122,571.644,0.733,0.40653,0.92014,0.99731,0.95833,0.97587,0.69056,1.09208,0.44391,0.99408,0.0012014,0.0012014,0.0012014
123,598.255,0.72405,0.40699,0.91886,1,0.99707,0.995,0.72643,1.04178,0.42112,0.96896,0.0011948,0.0011948,0.0011948
124,624.907,0.73486,0.40599,0.91891,0.99709,0.95833,0.96127,0.69438,1.0454,0.48708,0.97048,0.0011882,0.0011882,0.0011882
125,652.929,0.71277,0.40222,0.91939,0.99729,0.95833,0.987,0.72908,1.0352,0.43459,0.96071,0.0011816,0.0011816,0.0011816
126,679.713,0.73376,0.40634,0.9181,1,0.99839,0.995,0.72819,1.0161,0.39078,0.9698,0.001175,0.001175,0.001175
127,706.289,0.72308,0.40317,0.91428,0.99719,0.95833,0.9934,0.71619,1.02323,0.41599,0.95083,0.0011684,0.0011684,0.0011684
128,732.976,0.73352,0.41102,0.91734,1,0.99668,0.995,0.7316,1.01214,0.43378,0.94322,0.0011618,0.0011618,0.0011618
129,759.557,0.72163,0.4072,0.92025,0.99524,0.95833,0.99192,0.73988,1.00303,0.40828,0.95634,0.0011552,0.0011552,0.0011552
130,786.448,0.71529,0.39502,0.91102,1,0.99687,0.995,0.731,1.0229,0.44604,0.93139,0.0011486,0.0011486,0.0011486
131,815.005,0.72352,0.40361,0.91667,0.9599,0.99751,0.9934,0.75696,0.93174,0.38309,0.93819,0.001142,0.001142,0.001142
132,841.834,0.72006,0.39851,0.91729,0.95979,0.99484,0.9934,0.77773,0.95645,0.41307,0.91791,0.0011354,0.0011354,0.0011354
133,868.626,0.71584,0.39698,0.90934,1,0.99708,0.995,0.72107,1.05753,0.42815,0.98818,0.0011288,0.0011288,0.0011288
134,895.336,0.69816,0.38623,0.90932,0.9972,0.95833,0.9934,0.7198,0.99956,0.42094,0.96671,0.0011222,0.0011222,0.0011222
135,922.704,0.71635,0.40102,0.91564,0.99775,0.95833,0.985,0.70034,1.02482,0.43087,0.97314,0.0011156,0.0011156,0.0011156
136,950.912,0.71015,0.39842,0.91184,1,0.99701,0.995,0.71636,1.06274,0.41411,0.96784,0.001109,0.001109,0.001109
137,977.82,0.70372,0.39187,0.90816,0.99699,0.95833,0.9934,0.71099,1.02797,0.46831,0.9512,0.0011024,0.0011024,0.0011024
