epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,4625.02,0.67813,0.35471,1.01028,0.96575,0.97313,0.98628,0.84109,0.63184,0.30847,0.99024,0.007558,0.007558,0.007558
76,4687.53,0.67535,0.36048,1.00757,0.96215,0.97637,0.98476,0.83488,0.63422,0.3173,0.99362,0.007525,0.007525,0.007525
77,4749.01,0.67635,0.35809,1.00776,0.95777,0.97609,0.98388,0.83858,0.63369,0.32124,0.98927,0.007492,0.007492,0.007492
78,4812.13,0.67366,0.35717,1.0043,0.96613,0.96172,0.98152,0.83054,0.63396,0.32591,0.988,0.007459,0.007459,0.007459
79,4875.68,0.67923,0.35411,1.00916,0.95985,0.97831,0.98365,0.83565,0.6425,0.3211,0.99042,0.007426,0.007426,0.007426
80,4937.72,0.67874,0.36741,1.01123,0.96379,0.97485,0.98438,0.83573,0.63073,0.31365,0.99008,0.007393,0.007393,0.007393
81,4998.01,0.6746,0.35806,1.00518,0.96502,0.97481,0.98096,0.83437,0.63783,0.32259,0.98853,0.00736,0.00736,0.00736
82,5058.17,0.66714,0.35241,1.00465,0.96737,0.97252,0.98378,0.84263,0.62778,0.3165,0.98439,0.007327,0.007327,0.007327
83,5118.31,0.672,0.35024,1.00761,0.96747,0.97598,0.98554,0.83685,0.63861,0.3087,0.99076,0.007294,0.007294,0.007294
84,5180.75,0.67184,0.3559,0.99934,0.9594,0.97598,0.98333,0.83798,0.63462,0.31451,0.99224,0.007261,0.007261,0.007261
85,5244.35,0.66827,0.35609,1.00714,0.96371,0.97518,0.98076,0.83478,0.63205,0.32027,0.98659,0.007228,0.007228,0.007228
86,5307.49,0.66562,0.35554,1.00014,0.97212,0.96232,0.98168,0.83476,0.62726,0.31564,0.99006,0.007195,0.007195,0.007195
87,5369.88,0.67418,0.35225,1.00658,0.96002,0.97154,0.98388,0.84026,0.63091,0.31714,0.98881,0.007162,0.007162,0.007162
88,5433.1,0.66729,0.34893,1.00478,0.96533,0.97609,0.97981,0.83467,0.6334,0.30732,0.98631,0.007129,0.007129,0.007129
89,5497.05,0.66272,0.35142,1.00164,0.96239,0.97387,0.98167,0.83593,0.63584,0.31353,0.99089,0.007096,0.007096,0.007096
90,5558.86,0.66533,0.34923,1.00306,0.96098,0.97566,0.98536,0.84027,0.63176,0.30875,0.98881,0.007063,0.007063,0.007063
91,5618.45,0.66387,0.34813,0.99802,0.96081,0.97222,0.98351,0.83641,0.6318,0.31819,0.98477,0.00703,0.00703,0.00703
92,5680.26,0.66074,0.34338,1.00424,0.96265,0.97626,0.98663,0.84521,0.63,0.30391,0.98508,0.006997,0.006997,0.006997
93,5740.32,0.65716,0.34214,0.99395,0.96039,0.97135,0.98193,0.84301,0.62763,0.30978,0.98413,0.006964,0.006964,0.006964
94,5802.67,0.65942,0.35451,1.00067,0.95289,0.98031,0.98779,0.84736,0.62285,0.30444,0.98231,0.006931,0.006931,0.006931
95,5862.55,0.65009,0.33935,0.99306,0.96616,0.9732,0.98508,0.8437,0.62929,0.30589,0.98506,0.006898,0.006898,0.006898
96,5924.92,0.65069,0.37326,0.99324,0.96368,0.97618,0.98608,0.8395,0.6336,0.31099,0.99032,0.006865,0.006865,0.006865
97,5986.87,0.66383,0.34227,1.00318,0.9641,0.9698,0.98399,0.8397,0.63541,0.31295,0.99228,0.006832,0.006832,0.006832
98,6047.51,0.6586,0.34628,0.99732,0.95842,0.9756,0.98502,0.8394,0.62806,0.31146,0.98702,0.006799,0.006799,0.006799
99,6107.96,0.65768,0.35047,0.99895,0.96111,0.97565,0.98319,0.83767,0.63607,0.31775,0.98975,0.006766,0.006766,0.006766
100,6167.54,0.65837,0.34478,0.99458,0.96297,0.97164,0.98325,0.84205,0.63439,0.31348,0.99317,0.006733,0.006733,0.006733
101,6228.82,0.65647,0.34278,1.00102,0.96454,0.97272,0.98192,0.83812,0.63593,0.31402,0.99195,0.0067,0.0067,0.0067
102,6291.83,0.65623,0.35183,0.99909,0.9662,0.97044,0.98421,0.84124,0.63102,0.30781,0.98563,0.006667,0.006667,0.006667
103,6351.43,0.65417,0.35107,0.99555,0.96394,0.97266,0.98335,0.84611,0.63268,0.31558,0.98903,0.006634,0.006634,0.006634
104,6411.28,0.65949,0.34237,0.99754,0.95792,0.97856,0.98225,0.84312,0.6294,0.30327,0.9906,0.006601,0.006601,0.006601
105,6472.62,0.64857,0.34143,0.99452,0.96196,0.97409,0.98488,0.8455,0.62988,0.30517,0.9908,0.006568,0.006568,0.006568
106,6532.52,0.64819,0.34022,0.99427,0.95504,0.97631,0.98381,0.84287,0.62781,0.30934,0.98675,0.006535,0.006535,0.006535
